time,phase_raw,phase_detrended
1.094499975536018610e+01,3.577174189781281211e+00,1.386552702654755720e+00
1.094999975524842739e+01,3.559878236949433727e+00,1.369710065606954963e+00
1.095499975513666868e+01,3.546494423845201194e+00,1.356779568286770044e+00
1.095999975502490997e+01,3.529753690534593868e+00,1.340492150760209888e+00
1.096499975491315126e+01,3.524493431789087694e+00,1.335685207798750440e+00
1.096999975480139256e+01,3.507344481708911665e+00,1.318989573502621582e+00
1.097499975468963385e+01,3.484254057277557326e+00,1.296352464855313968e+00
1.097999975457787514e+01,3.453954936420381205e+00,1.266506659782185018e+00
1.098499975446611643e+01,3.407850528211004093e+00,1.220855567356855076e+00
1.098999975435435772e+01,3.376507435805956803e+00,1.189965790735854512e+00
1.099499975424259901e+01,3.363967592410849861e+00,1.177879263124794740e+00
1.099999975413084030e+01,3.340403997393717184e+00,1.154768983891709233e+00
1.100499975401908159e+01,3.307799266345389899e+00,1.122617568627428675e+00
1.100999975390732288e+01,3.279040298901071626e+00,1.094311916967157572e+00
1.101499975379556417e+01,3.253901927314362563e+00,1.069626861164495679e+00
1.101999975368380547e+01,3.237854899892788296e+00,1.054033149526968138e+00
1.102499975357204676e+01,3.215256463251705554e+00,1.031888028669932567e+00
